speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide	
finf6	o		784.3480839885	1298.2047937599	3069.6221598489			
finf6	E		626.4574458081	1880.2942126635	2846.9273370889			
finf6	o		472.2736443471	1302.2553010261	2864.9517449642			
finf6	A		846.9388158064	1282.8358650896	2209.6030087457			
finf6	o		391.7797337568	1216.1178218308	2740.6717176108			
finf6	U		397.0366465603	1306.3986843879	2686.7267140942			
finf6	o		506.3151511437	1300.9315459395	2726.783921087			
finf6	E		629.2384911531	1918.8275698371	2915.8737982496			
finf6	o		500.5957652437	1315.9498164206	2723.8932179168			
finf6	a		925.0084750855	1325.458738757	3055.1456576135			
finf6	u		387.1853082469	1111.2214986278	2273.7722042751			
finf6	a		847.5101688486	1433.5793296974	2682.8801017582			
finf6	e		465.3423330263	1886.7233839023	2735.7213908437			
finf6	E		563.2896213932	1932.5053917495	2581.9071284885			
finf6	o		592.7710181198	1341.1020997164	2580.3980389735			
finf6	a		1015.1779695383	1788.2770301402	2055.4365464391			
finf6	E		399.0959863678	2319.2303371588	2909.0302199203			
finf6	i		341.9540070302	2596.1652802299	3349.4567937611			
finf6	I		355.1348618139	2643.5979520005	3243.2652433291			
finf6	e		566.9667325053	1875.5430027165	2694.3225974146			
finf6	o		422.4398911877	1204.5469705842	2199.4774845098			
finf6	e		525.5926868778	1998.6236856694	2717.0151374717			
finf6	E		813.715142523	1838.4464424807	2936.6046981332			
finf6	a		484.0554384025	1347.2721624363	2696.2503505397			
finf6	O		449.42135867	936.7600676456	2799.4916210879			
finf6	a		794.6236045975	1428.553014762	2729.8714175118			
finf6	O		569.4999754833	1032.7126995107	2999.2073855703			
finf6	a		775.5268067898	1434.8602736146	2826.4775016857			
finf6	u		369.7573690114	1212.0348167376	2354.9494433733			
finf6	O		422.7952188622	859.2795551993	2313.4067903645			
finf6	e		430.6325583354	1846.1312154152	2765.576017905			
finf6	U		362.2696978173	1189.7456351121	2177.0847603228			
finf6	o		466.6901793293	1302.9764110174	2685.1101710068			
finf6	A		870.5558867994	897.1671009945	1268.6566851176			
finf6	o		430.434590748	1316.1067222961	2734.5876668271			
finf6	A		938.5500456235	1415.0691876794	3007.9869725122			
finf6	a		1062.5995460098	1391.4647410138	2675.5180984359			
finf6	i		401.6389884587	2700.2014961001	3626.8048667649			
finf6	u		374.3804876465	1329.052103627	1947.9068196448			
finf6	E		776.0136272935	1812.9730557493	2990.3682143719			
finf6	a		623.3872345298	1370.1635771203	2761.8468505759			
finf6	o		496.7050699894	1155.5424378989	2868.5601130755			
finf6	A		859.2762166252	1375.6469434845	2967.3102998319			
finf6	e		975.2961600383	1857.3316289194	3112.6718706439			
finf6	A		865.7337562732	1234.5935815638	3343.21607078			
finf6	a		646.9425437192	1328.3124917065	2976.2827327382			
finf6	i		379.0473416929	2761.9127795143	3363.9313166079			
finf6	E		451.2051195094	2191.7504566701	2972.7183754478			
finf6	e		1002.6873425146	1774.5729409262	3086.0688345994			
finf6	A		929.5759788213	1348.0775990381	3016.0942344618			
finf6	o		450.3197095241	947.0441268664	3062.529474404			
finf6	E		660.964688201	1933.367992563	2955.8883874253			
finf6	e		439.2984107802	1798.3477549976	2842.4339183326			
finf6	u		317.2249181358	1015.7727847501	2613.0724825737			
finf6	U		348.7037931887	1376.9986788563	3305.071392382			
finf6	a		817.769878967	1239.8425768758	2017.3032902552			
finf6	o		384.0985688721	1001.3873394741	2975.6887650201			
finf6	A		1006.3057393735	1314.8456821302	3467.9622189481			
finf6	o		489.0614177024	1394.927609384	2241.9680296499			
finf6	a		801.5402110877	1427.2144909204	2840.9281089649			
finf6	E		612.6912902194	1913.4676058984	2880.3378756573			
finf6	a		1006.1709313461	1495.6383813259	3014.6324001356			
finf6	u		370.2437981197	1004.3027640705	2732.7763190393			
finf6	I		368.9241379779	2651.8042498863	3330.8731180155			
finf6	a		1076.4783276042	1486.336974218	3332.9709027585			
finf6	A		1022.5440829252	1198.5254434183	1526.788305456			
finf6	a		905.0302800996	1434.9786250018	3290.4169791721			
finf6	O		428.5064961386	911.6652212389	2800.7757071735			
finf6	a		1123.0949331466	1717.268661867	3205.6357037216			
finf6	i		384.0858116862	2718.1225061646	3617.4685596703			
finf6	A		1008.1782418804	1336.6995025417	3089.186464838			
finf6	e		816.1757197437	1905.4068513209	3145.0263637768			
finf6	i		386.1080208982	2789.5575289739	3453.6147077287			
finf6	O		772.6001467649	1302.2194400684	3058.3839780983			
